Indicator	Type	ORDER	Description
8.2.1.3.3	Consideration(s)	6790	The developments can consist of institutional (e.g. new safety standards), operational (e.g. better traffic management) and/or infrastructural (e.g. new flyover over a busy intersection) measures. It can consider 'push' measures, i.e., aiming at minimising the use of private vehicles (e.g. specific fuel taxes); or 'pull' measures, i.e., encouraging the use of shared transport by making them more attractive (e.g. implementation of park and ride).
8.2.1.3.3	Example(s)	6800	A city currently in the process of implementing a car pooling initiative, based on the development plan, has a strategy categorised as 'under implementation'.
8.2.1.3.3	Example(s)	6810	If the city is studying means to pave dirt roads across the city, consequently enhancing the movement of private vehicles, it has a plan considered as 'under development'.
8.2	General Consideration(s)	6820	Consider only motorised modes, of both public and private operation, transporting goods in a commercial manner. The inclusion of informal operators is advised to allow a more comprehensive understanding of the network.
8.2	General Consideration(s)	6830	These can include vehicles such as box trucks, refrigerator trucks, tank trucks, vans, pickups, canopy express, panel vans, etc.; and the transportation of goods of any type, e.g. food, fuel, raw materials for industries, etc.
8.2.1.4.1	Consideration(s)	6840	Data can be provided in terms of portion of the city's area or population covered by the network.
8.2.1.4.1	Consideration(s)	6850	Consider only areas where the delivery of goods is necessary, e.g. disregarding unused spaces.
8.2.1.4.1	Example(s)	6860	If shops in a neighbourhood corresponding to 20% of the total area in the city cannot obtain supplies via motorised means due to limited access, the answer should be 80% and the reason 'geographical/environmental' should be selected.
8.2.1.4.2	Consideration(s)	6870	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.1.4.2	Consideration(s)	6880	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the goods transport, including the coordination of the different stakeholders.
8.2.1.4.2	Example(s)	6890	A city can 'exert control' over the distribution of fuel due to its hazardous nature, whilst just being 'informed' over the distribution of food.
8.2.1.4.3	Consideration(s)	6900	Consider all types of initiatives, from government, private sector and civil society. These involve measures to both facilitate the transport of goods and/or to limit it.
8.2.1.4.3	Consideration(s)	6910	Arrangements can include, for example, specific parking areas, time windows for the transit of heavy vehicles, limitations in terms of weight, rescheduling of delivery of certain products, etc.
8.2.1.4.4	Consideration(s)	6920	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.2.1.4.4	Consideration(s)	6930	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.2.1.4.4	Consideration(s)	6940	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations. Although plans for road infrastructure developments often cover different transport modes, please only include here measures that are particularly relevant to the goods transport network.
8.2.1.4.4	Consideration(s)	6950	The developments can consist of institutional (e.g. weight limitations), operational (e.g. rescheduling the delivery of certain products) and/or infrastructural (e.g. new parking facilities) measures.
8.2.1.4.4	Example(s)	6960	A city that has implemented specific time windows for the transport of particular goods, based on a development plan, whilst acquiring information from the operators, has a strategy categorised as 'under implementation, with regular monitoring and revision'.
8.2.1.4.4	Example(s)	6970	If the city is studying means to pave dirt roads across the city, consequently enhancing the movement of vehicles that transport goods, it has a plan considered as 'under development'.
8.2.1.4.5	Consideration(s)	6980	Emergency situations can include, for example, spillage of hazardous substances being transported, disruptions of access by road, etc.
8.2.1.4.5	Consideration(s)	6990	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the goods transport network should be explicit.
8.2.1.4.5	Consideration(s)	7000	The plan can include measures to recover the affected operators, and/or the provision of alternative means to transport goods.
8.2.1.4.5	Consideration(s)	7010	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.2.1.4.5	Example(s)	7020	If a regional plan has been elaborated to provide alternative routes for goods transport in case of blockage of main city accesses due to flood, for example, it is considered as 'implemented' on the 'regional' level.
8.2.1.4.5	Example(s)	7030	If the document is a local plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'local' level should be selected.
8.2	General Consideration(s)	7040	Non-motorised transport (NMT) entails all means of transport that are human powered - most notably walking and cycling, but also incorporating small-wheeled variants (e.g. skateboards, push scooters) and wheelchair. If relevant, the assessment can also include animal-powered transport, such as horses, carts and carriages.
8.2.1.5.1	Consideration(s)	7050	Data is usually provided in terms of the fraction of the city covered by such infrastructures, but can also be provided in absolute terms (e.g. total area in sq. metres).
8.2.1.5.1	Consideration(s)	7060	There is a particular interest in the safety of people whilst performing NMT, hence please consider only sidewalks and bicycle lanes that are in appropriate conditions for safe use, according to local requirements.
8.2.1.5.2	Consideration(s)	7070	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.1.5.2	Consideration(s)	7080	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the NMT network, including the coordination of the different stakeholders.
8.2.1.5.2	Consideration(s)	7090	There is a particular interest in understanding what is the capacity of the local government in enforcing the development and maintenance of measures associated with NMT.
8.2.1.5.2	Example(s)	7100	A city can 'exert influence' over the construction of sidewalks by providing incentives for homeowners, whilst just being 'informed' over a city-wide bicycle rental system.
8.2.1.5.3	Consideration(s)	7110	Consider all types of initiatives, from government, private sector and civil society.
8.2.1.5.3	Consideration(s)	7120	Programmes can include measures such as preventive maintenance of sidewalks and bicycle lanes, promotion of bicycle rental options, reduction of car speed limits nearby schools, management of traffic lights or pedestrian crossings, etc.
8.2.1.5.4	Consideration(s)	7130	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.2.1.5.4	Consideration(s)	7140	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.2.1.5.4	Consideration(s)	7150	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations. Although plans for road infrastructure developments often cover different transport modes, please only include here measures that are particularly relevant to NMT.
8.2.1.5.4	Consideration(s)	7160	The developments can consist of institutional (e.g. new safety standards), operational (e.g. promotion of bicycle rental options) and/or infrastructural (e.g. improvements in sidewalks and bicycle lanes) measures.
8.2.1.5.4	Example(s)	7170	A city that has upgraded its traffic lights management to consider higher traffic of pedestrians at peak hours, based on the development plan, whilst monitoring the effectiveness of this measure, has its strategy categorised as 'under implementation, with regular monitoring and revision'.
8.2.1.5.4	Example(s)	7180	If the city is studying means to pave dirt roads and build sidewalks across the city, consequently improving walking and cycling conditions, it has a plan considered as 'under development'.
8.2	General consideration(s)	7190	Light rail transit (LRT) is a mode of transport that operates in fixed rails, usually in the surface, separated or not from other traffic, composed by single or short (maximum of three) train cars. These can include streetcars, tramways, or trolleys. Consider both public and private operators.
8.2.2.1.1	Consideration(s)	7200	For the coverage of the service, a radius of around 1 km from the stops is usually considered as the catchment area, however this may vary based on local conditions. Data can be given in terms of city's area or population covered by the service, in absolute (e.g. area in sq. metres, people attended) or relative (e.g. percentage of city's area or population) figures.
8.2.2.1.1	Consideration(s)	7210	There is a particular interest in tunnels and bridges since these are more sensitive structures which require more specific management measures.
8.2.2.1.2	Consideration(s)	7220	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.2.1.2	Consideration(s)	7230	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of light rail transit, including the coordination of the different stakeholders.
8.2.2.1.2	Example(s)	7240	A city can 'fully control and operate' the network infrastructure, whilst 'exerting influence' over the operation of the system.
8.2.2.1.3	Consideration(s)	7250	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.
8.2.2.1.3	Example(s)	7260	A specific route with a frequency of 1 trip per hour can be sufficient in low density areas.
8.2.2.1.3	Example(s)	7270	If services are jeopardised by constant shortages in electricity, the option 'significant disruptions' should be selected.
8.2.2.1.4	Consideration(s)	7280	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.2.2.1.4	Consideration(s)	7290	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.2.2.1.4	Consideration(s)	7300	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations.
8.2.2.1.4	Consideration(s)	7310	The developments can consist of institutional (e.g. new safety standards), operational (e.g. increase frequency in operation) and/or infrastructural (e.g. extension of an existing line) measures.
8.2.2.1.4	Example(s)	7320	A city performing preliminary studies for the construction of new lines, drawing on a development plan, has a strategy categorised as 'under implementation'.
8.2.2.1.4	Example(s)	7330	A plan that does not include the elements cited in the description, or still in its conceptual or feasibility study stage, will be considered as 'under development'.
8.2.2.1.5	Consideration(s)	7340	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
8.2.2.1.5	Consideration(s)	7350	The plan can include measures to recover the affected operators, and/or alternative means to provide transport for the population.
8.2.2.1.5	Consideration(s)	7360	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.2.2.1.5	Example(s)	7370	If the provision of buses is considered in case of disruptions in the LRT network due to electricity shortages, the plan is considered as 'implemented'.
8.2.2.1.5	Example(s)	7380	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
8.2	General Consideration(s)	7390	Heavy rail transit encompasses high-capacity modes of transport that operate in fixed rails, both above- and underground, composed by several train cars. These can include metro, subways, regional trains, cargo trains, etc. Consider both public and private operators, carrying passengers and/or goods.
8.2.2.2.1	Consideration(s)	7400	For the coverage of the service, a radius of around 1 km from the stations is usually considered as the catchment area, however this may vary based on local conditions. Data can be given in terms of city's area or population covered by the service, in absolute (e.g. area in sq. metres, people attended) or relative (e.g. percentage of city's area or population) figures.
8.2.2.2.1	Consideration(s)	7410	There is a particular interest in tunnels and bridges since these are more sensitive structures which require more specific management measures.
8.2.2.2.2	Consideration(s)	7420	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.2.2.2	Consideration(s)	7430	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of heavy rail transit, including the coordination of the different stakeholders.
8.2.2.2.2	Example(s)	7440	A city can 'fully control and operate' the network infrastructure, whilst 'exerting influence' over the operation of the system.
8.2.2.2.2	Example(s)	7450	Urban trains can be 'fully controlled and operated' by the city, whilst regional ones are run by the national government and 'monitored' by the municipality.
8.2.2.2.3	Consideration(s)	7460	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.
8.2.2.2.3	Consideration(s)	7470	For service frequency, consider only lines carrying passengers.
8.2.2.2.3	Example(s)	7480	A specific route with a frequency of a trip every 10 minutes can be deemed insufficient in high density areas.
8.2.2.2.3	Example(s)	7490	If services are jeopardised by seasonal heavy rains that do not allow the operation of trains, the option 'seasonal disruptions' should be selected.
8.2.2.2.4	Consideration(s)	7500	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.2.2.2.4	Consideration(s)	7510	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.2.2.2.4	Consideration(s)	7520	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations.
8.2.2.2.4	Consideration(s)	7530	The developments can consist of institutional (e.g. new safety standards), operational (e.g. increase frequency in operation) and/or infrastructural (e.g. extension of an existing line) measures.
8.2.2.2.4	Consideration(s)	7540	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.2.2.2.4	Example(s)	7550	A city studying the construction of new lines, however without a secured budget, is categorised as having a plan 'under development' on the 'local' level.
8.2.2.2.4	Example(s)	7560	A plan that include the elements cited in the description, however pending permits for implementation, will be considered as 'developed but not implemented'.
8.2.2.2.5	Consideration(s)	7570	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
8.2.2.2.5	Consideration(s)	7580	The plan can include measures to recover the affected operators, and/or alternative means to provide transport for the population.
8.2.2.2.5	Consideration(s)	7590	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.2.2.2.5	Example(s)	7600	A city can have a plan 'under development' at the 'local' level which will include the provision of buses to transport people in case the train network faces serious disruptions.
8.2.2.2.5	Example(s)	7610	If the only available document is a regional plan, relevant local actors have been informed and responsibilities assigned, and alternatives have been verified, it should be considered as 'implemented', and the 'regional' level should be selected.
8.3	General Consideration(s)	7620	Light vessels refer to small watercrafts with low carrying capacity, e.g. launches, sailboats, motorboats, catamarans, water buses, etc. Consider both public and private operators. Inclusion of informal operators is advised in order to allow a more comprehensive understanding on the subject.
8.3.1.1	Consideration(s)	7630	For both carrying capacity and boat ownership, only vessels used for commercial purposes (either full- or part-time) should be considered. Watercrafts for leisure only should not be included.
8.3.1.1	Consideration(s)	7640	Figures on ownership can be given in relative terms (e.g. rate per 1,000 people), or in total amount of vessels.
8.3.1.1	Consideration(s)	7650	Spare capacity data is only applicable if light vessels are used for public transport.
8.3.1.2	Consideration(s)	7660	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.3.1.2	Consideration(s)	7670	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of light vessels, including the coordination of the different stakeholders.
8.3.1.2	Example(s)	7680	A city can 'fully control and operate' the harbour infrastructure, whilst 'exerting influence' over the movement of the vessels.
8.3.1.2	Example(s)	7690	Informal operators usually work on variable routes, often not following safety standards, and the local government is 'not informed' on their operation.
8.3.1.3	Consideration(s)	7700	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the operation.
8.3.1.3	Consideration(s)	7710	Disruptions in the operation can be caused, for example, by an increase or decrease of water levels preventing the movement of boats, water pollution, or obstruction of waterways.
8.3.1.3	Consideration(s)	7720	For service frequency, consider only light vessels used for public transport, following specific routes (regular or not).
8.3.1.3	Example(s)	7730	An expected decrease in water levels due to the annual dry season that do not substantially affect the operation of light vessels, can be considered as 'no major disruption'.
8.3.1.3	Example(s)	7740	If services are constantly jeopardised by the blockage of channels due to accumulation of residues, 'significant disruptions' should be selected.
8.3.1.4	Consideration(s)	7750	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.3.1.4	Consideration(s)	7760	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.3.1.4	Consideration(s)	7770	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations.
8.3.1.4	Consideration(s)	7780	The developments can consist of institutional (e.g. new safety standards), operational (e.g. better enforcement measures) and/or infrastructural (e.g. upgrades in an existing harbour) measures.
8.3.1.4	Consideration(s)	7790	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.3.1.4	Example(s)	7800	A city studying the formalisation of informal operators, is categorised as having a plan 'under development' on the 'local' level.
8.3.1.4	Example(s)	7810	A regional plan that includes the elements cited in the description, however waiting authorisations to be applied, will be considered as 'developed but not implemented' on the 'regional' level.
8.3.1.5	Consideration(s)	7820	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
8.3.1.5	Consideration(s)	7830	The plan can include measures to re-establish affected operators, and/or alternative means to provide transport for the population.
8.3.1.5	Consideration(s)	7840	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.3.1.5	Example(s)	7850	A city can have a plan that includes the provision of buses in case water conditions do not allow the use of vessels, however still pending negotiation with bus operators, hence 'developed but not implemented' at the 'local' level.
8.3.1.5	Example(s)	7860	If the only available document is a regional plan, relevant local actors have been informed and responsibilities assigned, and alternatives have been verified, it should be considered as 'implemented', and the 'national' level should be selected.
8.3	General Consideration(s)	7870	Heavy vessels refer to large watercrafts with high capacity for carrying passengers or goods, e.g. ferry boats, cruise ships, barges, oil tankers, etc. Consider both public and private operators.
8.3.2.1	Consideration(s)	7880	Figures for both passengers and freight can be given either in terms of traffic or in terms of the capacity of the port.
8.3.2.1	Consideration(s)	7890	Passenger data is usually given in people per year, whilst freight information is usually provided in tonnes (or thousand tonnes) per year.
8.3.2.2	Consideration(s)	7900	The different levels of jurisdiction of the local government over the different components of the operation can be considered separately.
8.3.2.2	Consideration(s)	7910	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of heavy vessels, including the coordination of the different stakeholders.
8.3.2.2	Example(s)	7920	A city can be 'informed' about the port infrastructure developments, which is under national government jurisdiction, whilst 'monitoring' the movement of the vessels.
8.3.2.3	Consideration(s)	7930	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the operation.
8.3.2.3	Consideration(s)	7940	Disruptions in the operation can be caused, for example, by an increase or decrease of water levels preventing the movement of boats, water pollution, or obstruction of waterways.
8.3.2.3	Example(s)	7950	An expected increase in water levels due to the annual wet season that do not substantially affect the movement of heavy vessels, can be considered as 'no major disruption'.
8.3.2.3	Example(s)	7960	If services are constantly jeopardised by the blockage of channels due to accumulation of residues, 'significant disruptions' should be selected.
8.3.2.4	Consideration(s)	7970	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.3.2.4	Consideration(s)	7980	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.3.2.4	Consideration(s)	7990	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations.
8.3.2.4	Consideration(s)	8000	The developments can consist of institutional (e.g. new safety standards), operational (e.g. better management of traffic) and/or infrastructural (e.g. upgrades in an existing harbour) measures.
8.3.2.4	Consideration(s)	8010	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.3.2.4	Example(s)	8020	A national government studying the upgrade of the port of a specific city, however without a secured budget, is categorised as having a plan 'under development' at the 'local' level.
8.3.2.4	Example(s)	8030	A plan that includes the elements cited in the description, however waiting on the necessary permits, will be considered as 'developed but not implemented'.
8.3.2.5	Consideration(s)	8040	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
8.3.2.5	Consideration(s)	8050	The plan can include measures to re-establish affected operators, and/or alternative means to provide transport of population and cargo.
8.3.2.5	Consideration(s)	8060	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.3.2.5	Example(s)	8070	If the only available document is a national plan for all the country ports, but relevant local actors have been informed and responsibilities assigned, and alternatives have been verified, it should be considered as 'implemented', and the 'national' level should be selected.
8.3.2.5	Example(s)	8080	A city can have an agreed plan to transport people and goods with the use of buses and trucks in case its ferry boat is non-operational, hence having an 'implemented' strategy.
8.4	General Consideration(s)	8090	Consider all air transport of passengers and goods for commercial purposes performed by motorised aircrafts (e.g. business jets, single-engine planes, large cargo and passenger jet airliners, helicopters) in regional, national and international airports serving the city.
8.4.1.1	Consideration(s)	8100	Figures for both passengers and freight can be given either in terms of traffic or in terms of the capacity of the airport(s).
8.4.1.1	Consideration(s)	8110	Passenger data is usually given in people per year, whilst freight information is usually provided in tonnes (or thousand tonnes) per year.
8.4.1.2	Consideration(s)	8120	The different levels of jurisdiction of the local government over the different components of the operation can be considered separately.
8.4.1.2	Consideration(s)	8130	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of air traffic, including the coordination of the different stakeholders.
8.4.1.2	Example(s)	8140	A city that is consulted in the decision making process of a national airport owned and managed by the national government is considered as 'exerting influence', whilst in a privately-owned and managed international airport the city is only 'informed'.
8.4.1.3	Consideration(s)	8150	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the operation.
8.4.1.3	Consideration(s)	8160	Disruptions in the operation can be caused, for example, by weather conditions preventing the movement of airplanes.
8.4.1.3	Example(s)	8170	Strong wind that occur very rarely affecting the take off and landing time of the airplanes can be considered as 'no major disruption'.
8.4.1.3	Example(s)	8180	If a severe snowstorm causes an airport to close for several consecutive days preventing passengers from departing or arriving in the city, then it is considered as 'significant disruptions'.
8.4.1.4	Consideration(s)	8190	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.4.1.4	Consideration(s)	8200	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.4.1.4	Consideration(s)	8210	The developments can consist of institutional (e.g. new safety standards), operational (e.g. changes in the take off and landing procedures) and/or infrastructural (e.g. building of a new airport) measures.
8.4.1.4	Consideration(s)	8220	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.4.1.4	Example(s)	8230	If a city has developed a plan establishing special financial incentives to attract low-cost airlines to operate in the city's airport, but has not been implemented so far, the plan is considered as 'developed but not implemented' at the 'local' level.
8.4.1.4	Example(s)	8240	A plan that includes the elements cited in the description, however waiting on the necessary permits, will be considered as 'developed but not implemented'.
8.4.1.5	Consideration(s)	8250	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
8.4.1.5	Consideration(s)	8260	The plan can include special operating procedures and/or measures to re-establish affected operators and infrastructure.
8.4.1.5	Consideration(s)	8270	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.4.1.5	Example(s)	8280	If a contingency plan has been developed at a national level for all airports for the screening of passengers flying from countries with a virus disease outbreak, ensuring sufficient number of trained staff, performing drills and updating the plan, then it is considered as 'implemented, periodically monitored and reviewed' developed at a 'national' scale.
8.4.1.5	Example(s)	8290	If the only available document is a regional plan for all the region airports, relevant local actors have been informed and responsibilities assigned, and alternatives have been verified, it should be considered as 'implemented', and the 'regional' level should be selected.
8.5	General Consideration(s)	8300	Cable transport entails transport modes that use cables as their basic means of moving. It includes aerial lifts (e.g. aerial tramway, chairlift, ski lift, etc.) and surface lifts (e.g. cable car, funicular, etc.). There is a particular interest in aerial lifts, since these represent a distinct set of conditions that require specific management measures.
8.5.1.1	Consideration(s)	8310	Information regarding carrying capacity can be given, for example, in terms of capacity per direction per hour, or the total daily capacity of the network.
8.5.1.1	Consideration(s)	8320	Spare capacity data is only applicable to lines used for public transport.
8.5.1.2	Consideration(s)	8330	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.5.1.2	Consideration(s)	8340	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the cable transport network, including the coordination of the different stakeholders.
8.5.1.2	Example(s)	8350	A city can 'fully control and operate' a cable car that connects a community to a bus terminal, whilst being 'informed' over the operation of privately-run sky lifts.
8.5.1.3	Consideration(s)	8360	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.
8.5.1.3	Consideration(s)	8370	For service frequency, consider lines used for public transport, following specific routes.
8.5.1.3	Example(s)	8380	If services are jeopardised by constant power shortages, the option 'significant disruptions' should be selected.
8.5.1.4	Consideration(s)	8390	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
8.5.1.4	Consideration(s)	8400	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
8.5.1.4	Consideration(s)	8410	A transport master plan is usually multi-modal, i.e., considers the different transport modes within the city and how they can connect, interact and complement each other's operations.
8.5.1.4	Consideration(s)	8420	The developments can consist of institutional (e.g. new comfort standards), operational (e.g. increase frequency in operation) and/or infrastructural (e.g. extension of an existing line) measures.
8.5.1.4	Example(s)	8430	A city currently in the process of enhancing the synergy of its different transport modes, by improving its connection infrastructure and synchronising timetables, has a plan 'under implementation'.
8.5.1.4	Example(s)	8440	If the government is looking at sources for funding the implementation of a development plan, this plan will be considered as 'under development'.
8.5.1.5	Consideration(s)	8450	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding cable transport network should be explicit.
8.5.1.5	Consideration(s)	8460	The plan can include measures to recover the affected operators, and/or alternative means to provide transport for the population.
8.5.1.5	Consideration(s)	8470	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
8.5.1.5	Example(s)	8480	If the plan has been elaborated, alternatives to evacuate people have been verified, and defined roles and responsibilities have been assigned and informed, it is considered as 'implemented'.
8.5.1.5	Example(s)	8490	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
7.3	General Consideration(s)	8500	There is a particular interest in understanding the population's involvement in knowledge sharing and capacity building initiatives, due to their significance for disaster risk preparedness, mitigation, response and recovery.
7.3	General Consideration(s)	8510	The population's access to technical means of communication is relevant in order to inform people on the relevant hazards, specificities of the local area, existent technology and on the procedures in case of a disaster, as well as to receive information and feedback from them in case of emergencies.
7.3	General Consideration(s)	8520	Traditional or local knowledge encompasses all local, traditional and indigenous understandings, know-how, skills and practices that are developed, adjusted and passed on from generation to generation within a community or social group. It is generally based on the accumulation of empirical observations and on the interactions with the surrounding environment.
7.3	General Consideration(s)	8530	Consider capacity building as long-term processes, which include top-down and bottom-up initiatives that empower social actors and provide them with knowledge, skills and competencies in order to increase their social, economic and environmental resilience.
7.3	General Consideration(s)	8540	The language(s) in which information is broadcasted and capacity building initiatives are organised should be taken into account, as not all population may be fluent on the utilised idiom(s) (e.g. recent migrants and tourists).
7.3	General Consideration(s)	8550	Stakeholders refer to all parties that influence or are influenced by the assessed initiatives, such as social actors (population and civil society organisations), private sector organisations and academia, from the local to the international level, operating in the city.
7.3.1	Consideration(s)	8560	Data can be given in relative numbers (i.e. as a percentage in relation to the total population), or in absolute numbers (i.e. total amount) and can be specified by gender.
7.3.1	Consideration(s)	8570	Technical means of communication include devices for receiving and transmitting information (radio, television, internet, fixed and mobile phones). Please note that people may have access to these through indirect means such as communal facilities or relatives.
7.3.1	Consideration(s)	8580	Consider here population that cannot receive information nor communicate back in case of emergencies (i.e. with no access to phone, internet, television or radio), as well as population that is able to receive information (via TV or radio receivers), but does not have technical devices (internet, phone, radio transmitter) to respond.
7.3.1	Example(s)	8590	A city where 80% of people have a television, and the other 20% live in a neighbourhood that only has two communal televisions and a radio transmitter, but the internal communication strategy allows everyone to be informed about the broadcasted information, can consider that its entire population has access to technical means of communication.
7.3.1	Example(s)	8600	A city can have 10% of its population with 'no access to information transmitting devices' because there is an isolated neighbourhood where phone and internet signals do not reach the area.
7.3.2	Consideration(s)	8610	The different contingency plans encompassing different hazards and/or areas can be considered separately.
7.3.2	Consideration(s)	8620	Data can be given in terms of population or area; in relative numbers (i.e. as a percentage in relation to the total population or area of the city), or in absolute numbers (i.e. total amount of people or area covered).
7.3.2	Example(s)	8630	The population coverage of a flood contingency plan may be only 85%, if one of the neighbourhoods (with 15% of the city's inhabitants) is not located on flood-prone area.
